Period,"Estimated Remaining
Forest Cover
in the Brazilian Amazon
(sq. km)","Annual forest loss
(sq. km)","Percent of 1970
cover remaining","Total forest loss
since 1970
(sq. km)"
1969,"4,100,000","20,000",97.61%,"97,500"
1970,"4,001,600","20,700",97.60%,"98,400"
1977,"3,955,870","21,130",96.50%,"144,130"
1985,"3,744,570","21,130",91.30%,"355,430"
1988,"3,723,520","21,050",90.80%,"376,480"
1989,"3,705,750","17,770",90.40%,"394,250"
1990,"3,692,020","13,730",90.00%,"407,980"
1991,"3,680,990","11,030",89.80%,"419,010"
1992,"3,667,204","13,786",89.40%,"432,796"
1993,"3,652,308","14,896",89.10%,"447,692"
1994,"3,637,412","14,896",88.70%,"462,588"
1995,"3,608,353","29,059",88.00%,"491,647"
1996,"3,590,192","18,161",87.60%,"509,808"
1997,"3,576,965","13,227",87.20%,"523,035"
1998,"3,559,582","17,383",86.80%,"540,418"
1999,"3,542,323","17,259",86.40%,"557,677"
2000,"3,524,097","18,226",86.00%,"575,903"
2001,"3,505,932","18,165",85.50%,"594,068"
2002,"3,484,281","21,651",85.00%,"615,719"
2003,"3,458,885","25,396",84.40%,"641,115"
2004,"3,431,113","27,772",83.70%,"668,887"
2005,"3,412,099","19,014",83.20%,"687,901"
2006,"3,397,814","14,285",82.90%,"702,186"
2007,"3,386,163","11,651",82.60%,"713,837"
2008,"3,373,252","12,911",82.30%,"726,748"
2009,"3,365,788","7,464",82.10%,"734,212"
2010,"3,358,788","7,000",81.90%,"741,212"
2011,"3,352,370","6,418",81.80%,"747,630"
2012,"3,347,799","4,571",81.70%,"752,201"
2013,"3,341,908","5,891",81.50%,"758,092"
2014,"3,336,896","5,012",81.40%,"763,104"
2015,"3,330,689","6,207",81.20%,"768,935"
2016,"3,322,700","7,989",81.00%,"768,935"
