Year,Month,Day,Temperature  [2 m above gnd],Total Precipitation  [sfc],Wind speed  [10 m above gnd]
2017,4,18,7.54,0,5.9
2017,4,18,7.44,0,6.7
2017,4,18,7.28,0,7.15
2017,4,18,7.13,0,7.39
2017,4,18,7.05,0,7.64
2017,4,18,4.46,0,9.02
2017,4,18,4.58,0.2,9.2
2017,4,18,5.1,0.6,8.21
2017,4,18,5.65,1,7.93
2017,4,18,5.91,1.4,6.62
2017,4,18,6.83,1.1,6.12
2017,4,18,8.05,0.5,6.29
2017,4,18,8.85,0.6,6.92
2017,4,18,9.35,0.3,6.64
2017,4,18,9.21,0.2,5.86
2017,4,18,9.56,0,5.35
2017,4,18,9.72,0,4.84
2017,4,18,9.56,0,3.89
2017,4,18,10.67,0.1,2.9
2017,4,18,8.81,0.2,2.9
2017,4,18,8.11,0,4.83
2017,4,18,6.95,0,7.07
2017,4,18,6.02,0,9.18
2017,4,18,4.47,0,11.01
2017,4,19,2.67,0,12.31
2017,4,19,1.16,0,13.1
2017,4,19,0.13,0,14.24
2017,4,19,-0.37,0,15.38
2017,4,19,-0.5,0,16.17
2017,4,19,1.59,0,16.39
2017,4,19,1.6,0,16.39
2017,4,19,3.31,0,15.84
2017,4,19,5.83,0,13.57
2017,4,19,8.89,0,12.43
2017,4,19,11.42,0,11.5
2017,4,19,13.1,0,10.03
2017,4,19,13.6,0,9.34
2017,4,19,13.71,0,8.29
2017,4,19,13.3,0.1,6.11
2017,4,19,12.68,0.5,3.55
2017,4,19,14.14,0.7,1.8
2017,4,19,11.6,0.5,1.08
2017,4,19,9.51,1.1,1.14
2017,4,19,9.33,0.8,1.48
2017,4,19,8.67,0.3,2.28
2017,4,19,8.32,0.2,2.81
2017,4,19,8.02,0.1,2.62
2017,4,19,7.76,0.1,2.16
2017,4,20,7.72,0.2,1.3
2017,4,20,7.92,0.3,1.14
2017,4,20,7.37,0.4,1.08
2017,4,20,7.29,0.4,1.02
2017,4,20,7.4,0.8,2.19
2017,4,20,6.22,0,4.8
2017,4,20,6.14,0,3.62
2017,4,20,5.9,0,3.62
2017,4,20,6.01,0,4.45
2017,4,20,6.76,0,4.55
2017,4,20,7.59,0,4.45
2017,4,20,8.35,0,4.55
2017,4,20,8.67,0,4.35
2017,4,20,9.03,0,4.02
